frame,score,loss
762,-21.0,0
1580,-21.0,2.6643218994140625
2359,-21.0,2.682098150253296
3275,-20.0,2.677774429321289
4039,-21.0,2.6680569648742676
4884,-21.0,2.6239471435546875
5768,-21.0,2.624208688735962
6614,-21.0,2.6158900260925293
7612,-19.0,2.6223649978637695
8576,-19.0,2.624941110610962
9454,-21.0,2.617044448852539
10275,-21.0,2.6260290145874023
11097,-21.0,2.7013983726501465
11859,-21.0,2.614920139312744
12877,-20.0,2.630650281906128
13809,-19.0,2.619396686553955
14679,-20.0,2.6344852447509766
15517,-20.0,2.6309938430786133
16341,-21.0,2.6232333183288574
17130,-21.0,2.66025710105896
17919,-21.0,2.6969120502471924
18724,-21.0,2.6258065700531006
19639,-20.0,2.6164138317108154
20426,-21.0,2.629906177520752
21264,-20.0,2.623412609100342
22193,-21.0,2.6248281002044678
22956,-21.0,2.622950553894043
23860,-20.0,2.673426628112793
24800,-20.0,2.616795539855957
25608,-21.0,2.6232099533081055
26612,-20.0,2.6370177268981934
27448,-20.0,2.6254866123199463
28456,-19.0,2.639772415161133
29440,-20.0,2.6230220794677734
30335,-20.0,2.629573106765747
31192,-20.0,2.6296753883361816
32075,-21.0,2.6200480461120605
33035,-21.0,2.6222167015075684
33978,-21.0,2.6132214069366455
34813,-20.0,2.6263442039489746
35594,-21.0,2.6249876022338867
36703,-20.0,2.6261980533599854
37571,-20.0,2.612879753112793
38452,-20.0,2.6138014793395996
39446,-19.0,2.6114630699157715
40266,-21.0,2.6135222911834717
41127,-20.0,2.845787525177002
42149,-20.0,2.7882323265075684
42939,-21.0,2.781907796859741
43763,-21.0,2.8097851276397705
44730,-19.0,2.781578540802002
45565,-20.0,2.789687156677246
46372,-21.0,2.7914016246795654
47352,-19.0,2.7878663539886475
48171,-21.0,2.7832982540130615
49082,-21.0,2.768828868865967
49903,-21.0,2.7830958366394043
50859,-20.0,2.7917613983154297
51834,-20.0,2.7857604026794434
52638,-21.0,2.8026461601257324
53398,-21.0,2.7758545875549316
54272,-20.0,2.7874817848205566
55128,-20.0,2.7863450050354004
55992,-20.0,2.787095069885254
56948,-19.0,2.8013992309570312
57706,-21.0,2.794813871383667
58528,-21.0,2.7787106037139893
59342,-21.0,2.790679931640625
60189,-21.0,2.788377285003662
60969,-21.0,2.7915501594543457
61755,-21.0,2.7855801582336426
62572,-21.0,2.78767728805542
63466,-20.0,2.780750274658203
64345,-21.0,2.772477626800537
65131,-21.0,2.7887091636657715
65956,-21.0,2.7943153381347656
66774,-21.0,2.8035597801208496
67552,-21.0,2.7888612747192383
68342,-21.0,2.7911911010742188
69342,-19.0,2.7847137451171875
70239,-20.0,2.7868547439575195
71015,-21.0,2.780463218688965
71835,-21.0,2.778453826904297
72596,-21.0,2.783958673477173
73521,-20.0,2.772681713104248
74510,-20.0,2.7897989749908447
75377,-20.0,2.7890491485595703
76155,-21.0,2.7883758544921875
76946,-21.0,2.7403969764709473
78096,-18.0,2.7823891639709473
78917,-21.0,2.7932989597320557
79753,-20.0,2.791576862335205
80570,-21.0,2.7878572940826416
81331,-21.0,2.876751184463501
82153,-21.0,2.8295106887817383
83003,-21.0,2.8241238594055176
83792,-21.0,2.8353912830352783
84613,-21.0,2.8316283226013184
85510,-20.0,2.833028793334961
86327,-21.0,2.8201680183410645
87086,-21.0,2.831738233566284
87900,-21.0,2.8428525924682617
88972,-19.0,2.8836097717285156
89931,-20.0,2.835587501525879
90787,-21.0,2.8261518478393555
91669,-21.0,2.8295207023620605
92628,-20.0,2.8329968452453613
93448,-21.0,2.8914449214935303
94268,-21.0,2.8291666507720947
95029,-21.0,2.828603506088257
95792,-21.0,2.815814971923828
96715,-20.0,2.829634428024292
97655,-19.0,2.824512243270874
98463,-21.0,2.8322696685791016
99428,-21.0,2.8320934772491455
100359,-20.0,2.809816837310791
101218,-20.0,2.7797422409057617
101980,-21.0,2.826934576034546
102762,-21.0,2.83349347114563
103521,-21.0,2.8428354263305664
104551,-20.0,2.8215413093566895
105313,-21.0,2.8338558673858643
106173,-21.0,2.831468105316162
106930,-21.0,2.814664840698242
107720,-21.0,2.8289616107940674
108482,-21.0,2.8242342472076416
109358,-20.0,2.8001561164855957
110208,-21.0,2.852738857269287
111028,-21.0,2.8275766372680664
111820,-21.0,2.8297197818756104
112600,-21.0,2.8931612968444824
113617,-20.0,2.8298821449279785
114593,-19.0,2.807640552520752
115388,-21.0,2.83048677444458
116178,-21.0,2.8321661949157715
116967,-21.0,2.8316779136657715
117755,-21.0,2.8285136222839355
118625,-21.0,2.833099365234375
119445,-21.0,2.823540210723877
120268,-21.0,2.8359217643737793
121027,-21.0,2.870683431625366
121785,-21.0,2.8621482849121094
122590,-21.0,2.812012195587158
123388,-21.0,2.874305486679077
124330,-21.0,2.864833116531372
125092,-21.0,2.860016345977783
126008,-20.0,2.8669676780700684
126827,-21.0,2.8932418823242188
127619,-21.0,2.8621129989624023
128592,-20.0,2.864696979522705
129484,-20.0,2.8580734729766846
130243,-21.0,2.866421699523926
131004,-21.0,2.894024610519409
131973,-20.0,2.866436004638672
132782,-21.0,2.8710875511169434
133602,-21.0,2.882658004760742
134438,-20.0,2.8647327423095703
135275,-20.0,2.865865707397461
136057,-21.0,2.858269214630127
137034,-20.0,2.884138584136963
137794,-21.0,2.862104654312134
138674,-21.0,2.8592448234558105
139457,-21.0,2.865906238555908
140296,-20.0,2.8746938705444336
141055,-21.0,2.867750644683838
141816,-21.0,2.862572193145752
142653,-21.0,2.8800156116485596
143504,-21.0,2.8819966316223145
144342,-20.0,2.8709092140197754
145303,-19.0,2.8723607063293457
146061,-21.0,2.869929790496826
147087,-19.0,2.8654887676239014
147873,-21.0,2.8584399223327637
148997,-20.0,2.8600914478302
149849,-21.0,2.8681883811950684
150629,-21.0,2.8611085414886475
151470,-20.0,2.8556580543518066
152293,-21.0,2.862527847290039
153056,-21.0,2.8636322021484375
153817,-21.0,2.869436264038086
154660,-21.0,2.8704309463500977
155458,-21.0,2.860780954360962
156483,-18.0,2.861257553100586
157300,-21.0,2.8675999641418457
158107,-21.0,2.889039993286133
159117,-19.0,2.86456298828125
159876,-21.0,2.8698933124542236
160789,-21.0,2.7976009845733643
161580,-21.0,2.906238555908203
162536,-20.0,2.9027767181396484
163316,-21.0,2.9102888107299805
164213,-20.0,2.9107179641723633
165001,-21.0,2.8459644317626953
165926,-20.0,2.893284320831299
166765,-20.0,2.9148359298706055
167553,-21.0,2.9096903800964355
168371,-21.0,2.918095588684082
169208,-20.0,2.8999600410461426
170181,-19.0,2.927276611328125
171024,-20.0,2.8381717205047607
171844,-21.0,2.9089298248291016
172606,-21.0,2.906904697418213
173440,-21.0,2.903294086456299
174305,-21.0,2.900928258895874
175062,-21.0,2.9070162773132324
175927,-21.0,2.9326958656311035
176712,-21.0,2.910024404525757
177656,-19.0,2.8653202056884766
178520,-20.0,2.896655559539795
179311,-21.0,2.909895181655884
180096,-21.0,2.9199984073638916
180936,-20.0,2.905163288116455
181760,-21.0,2.905395746231079
182583,-21.0,2.8944830894470215
183416,-20.0,2.9075188636779785
184226,-21.0,2.85115647315979
185231,-20.0,2.9046788215637207
186223,-21.0,2.9630637168884277
187108,-21.0,2.872807025909424
187929,-21.0,2.902414321899414
188766,-21.0,2.921144962310791
189637,-20.0,2.969444751739502
190507,-20.0,2.9089322090148926
191303,-21.0,2.8448538780212402
192154,-21.0,2.8992207050323486
192912,-21.0,2.847517490386963
193673,-21.0,2.846057415008545
194629,-20.0,2.848118543624878
195541,-20.0,2.899653434753418
196408,-21.0,2.8925399780273438
197166,-21.0,2.9064903259277344
197944,-21.0,2.844031810760498
198776,-20.0,2.920011043548584
199534,-21.0,2.910745620727539
200384,-20.0,2.9061412811279297
201192,-21.0,2.9532339572906494
202107,-20.0,2.9154443740844727
202940,-20.0,2.927826404571533
203829,-20.0,2.9095704555511475
204665,-20.0,2.9150450229644775
205517,-21.0,2.94438099861145
206381,-20.0,2.91806960105896
207295,-20.0,2.909916400909424
208146,-21.0,2.918452739715576
209069,-20.0,2.9105167388916016
209964,-20.0,2.921597480773926
210788,-21.0,2.922414541244507
211633,-21.0,2.9125146865844727
212528,-20.0,2.936599016189575
213394,-20.0,2.9138824939727783
214297,-20.0,2.9127960205078125
215079,-21.0,2.918489933013916
215920,-21.0,2.9191641807556152
216853,-19.0,2.9586260318756104
217657,-21.0,2.941925048828125
218539,-21.0,2.9131810665130615
219497,-20.0,2.906198024749756
220284,-21.0,2.9222233295440674
221160,-21.0,2.918771266937256
221978,-21.0,2.9323577880859375
223119,-18.0,2.938275098800659
223961,-20.0,2.9109575748443604
224903,-21.0,2.909048080444336
225660,-21.0,2.908182144165039
226535,-20.0,2.928910732269287
227310,-21.0,2.955535650253296
228269,-20.0,2.916135311126709
229203,-21.0,2.9002904891967773
230087,-21.0,2.9187428951263428
230967,-21.0,2.936699390411377
231866,-20.0,2.866314172744751
232705,-20.0,2.908212661743164
233578,-21.0,2.9159746170043945
234368,-21.0,2.90695858001709
235224,-20.0,2.915205478668213
236184,-20.0,2.917285919189453
237285,-18.0,2.9200758934020996
238109,-21.0,2.9214935302734375
238989,-21.0,2.9190292358398438
239822,-21.0,2.9240059852600098
240581,-21.0,2.931506633758545
241455,-21.0,2.9959716796875
242530,-19.0,2.9766530990600586
243459,-21.0,2.983588218688965
244293,-20.0,2.888535499572754
245226,-20.0,2.959763526916504
245983,-21.0,2.9593963623046875
246881,-20.0,2.9506442546844482
247760,-21.0,2.9658608436584473
249105,-17.0,2.9602060317993164
250061,-20.0,2.974184274673462
250853,-21.0,2.895017147064209
251825,-19.0,2.9162750244140625
252750,-20.0,2.9821324348449707
253645,-20.0,2.9486217498779297
254509,-21.0,2.8836867809295654
255471,-20.0,2.963855504989624
256251,-21.0,2.979429244995117
257216,-20.0,2.9828619956970215
258151,-19.0,2.9837589263916016
259255,-18.0,2.9561448097229004
260217,-20.0,2.8887078762054443
261007,-21.0,2.9610848426818848
261845,-20.0,2.9484314918518066
262944,-19.0,2.940349578857422
263981,-20.0,2.9571304321289062
264875,-21.0,2.9693143367767334
265930,-18.0,2.917529582977295
267048,-20.0,2.962428569793701
267968,-20.0,2.952538251876831
268859,-21.0,2.9769270420074463
269911,-19.0,2.955504894256592
270733,-21.0,2.945791244506836
271647,-21.0,2.9495956897735596
272587,-20.0,2.9500346183776855
273548,-19.0,2.9510233402252197
274379,-20.0,2.949699878692627
275453,-19.0,2.970125675201416
276314,-20.0,2.973787784576416
277363,-20.0,2.971999406814575
278481,-20.0,2.967216730117798
279316,-21.0,2.8828532695770264
280216,-21.0,2.753232002258301
281215,-21.0,3.014812469482422
282305,-19.0,2.9530930519104004
283176,-21.0,2.9344418048858643
284219,-19.0,2.9860453605651855
285206,-19.0,2.9787538051605225
286217,-20.0,2.9107022285461426
287129,-20.0,2.9906601905822754
287993,-20.0,3.002166509628296
289128,-17.0,2.990769624710083
290068,-21.0,2.9824905395507812
291209,-19.0,2.9656753540039062
292047,-21.0,2.9907987117767334
292871,-21.0,2.863429546356201
293985,-19.0,2.9587228298187256
294891,-20.0,2.982449531555176
295824,-19.0,2.9757766723632812
296786,-20.0,2.988795757293701
297758,-20.0,2.9394664764404297
298654,-20.0,2.9892892837524414
299490,-20.0,2.996652126312256
300611,-19.0,2.982821464538574
301479,-20.0,2.929874897003174
302269,-21.0,2.947349786758423
303227,-20.0,2.9991564750671387
304108,-20.0,3.004930257797241
304978,-20.0,2.979109048843384
305803,-21.0,3.0027599334716797
306593,-21.0,2.9872913360595703
307463,-20.0,3.000145435333252
308302,-21.0,2.9406704902648926
309232,-20.0,2.9863548278808594
310260,-18.0,2.948380708694458
311193,-21.0,2.9051713943481445
312114,-20.0,2.978037118911743
313040,-21.0,2.983536958694458
314009,-21.0,2.982734441757202
315108,-19.0,2.9838738441467285
315958,-21.0,2.9756078720092773
316827,-21.0,2.910454750061035
317589,-21.0,2.9390006065368652
318429,-20.0,2.9817609786987305
319467,-20.0,2.99735164642334
320318,-21.0,2.9921512603759766
321329,-19.0,2.9607417583465576
322107,-21.0,2.9759621620178223
323018,-21.0,2.9093260765075684
323835,-21.0,2.966677188873291
324599,-21.0,2.9753284454345703
325385,-21.0,2.976222276687622
326145,-21.0,2.9746875762939453
326935,-21.0,2.893707752227783
327724,-21.0,2.9861514568328857
328602,-21.0,2.9709315299987793
329359,-21.0,2.8870716094970703
330183,-21.0,2.97322940826416
331005,-21.0,2.983602285385132
331762,-21.0,2.9787895679473877
332525,-21.0,2.970797061920166
333453,-20.0,2.9920482635498047
334353,-20.0,2.9276561737060547
335191,-20.0,2.9596762657165527
335952,-21.0,2.918887138366699
337026,-19.0,2.9723925590515137
338092,-21.0,2.97550106048584
338932,-20.0,2.990793228149414
339814,-21.0,2.9058094024658203
340775,-20.0,2.982541084289551
341593,-21.0,2.9424242973327637
342354,-21.0,2.955920457839966
343114,-21.0,2.9713962078094482
343874,-21.0,2.9083008766174316
344652,-21.0,2.9334194660186768
345415,-21.0,2.900157928466797
346449,-20.0,2.913247585296631
347270,-21.0,2.9638314247131348
348119,-21.0,2.96016788482666
349142,-21.0,2.9700164794921875
349961,-21.0,2.945011615753174
350792,-20.0,2.9627842903137207
351735,-21.0,2.9831318855285645
352748,-19.0,2.9996957778930664
353536,-21.0,2.9754347801208496
354385,-21.0,2.9695448875427246
355234,-21.0,2.9842801094055176
356071,-20.0,2.983346462249756
356891,-21.0,2.9612205028533936
357917,-19.0,2.967794895172119
358867,-20.0,2.9910638332366943
359627,-21.0,2.969369411468506
360498,-21.0,2.9832723140716553
361417,-20.0,2.9954497814178467
362298,-21.0,2.887331247329712
363198,-20.0,2.9387989044189453
364206,-21.0,3.002305507659912
365084,-21.0,2.9948530197143555
365983,-21.0,2.9775657653808594
366823,-21.0,2.998014450073242
367703,-21.0,3.010124683380127
368553,-21.0,2.9373199939727783
369450,-21.0,3.0141940116882324
370727,-19.0,3.001483917236328
371555,-21.0,3.0023202896118164
372536,-20.0,2.958062171936035
373821,-19.0,3.0070433616638184
374861,-20.0,3.0144619941711426
375716,-21.0,2.9887430667877197
376676,-20.0,3.003253221511841
377716,-20.0,2.9357991218566895
378639,-20.0,3.021909713745117
379463,-21.0,3.012906074523926
380454,-20.0,2.9411659240722656
381370,-20.0,2.964207172393799
382330,-20.0,3.0126099586486816
383214,-21.0,3.0226941108703613
384199,-21.0,2.9957661628723145
385099,-21.0,3.01804256439209
386166,-19.0,3.0119948387145996
387286,-19.0,3.0188193321228027
388174,-21.0,3.0195822715759277
389021,-21.0,3.0164904594421387
390105,-20.0,2.962944984436035
391046,-21.0,3.0091609954833984
392077,-21.0,2.995253562927246
392856,-21.0,3.0195937156677246
393814,-20.0,2.9304981231689453
394695,-21.0,3.0308151245117188
395579,-21.0,2.9136242866516113
396558,-20.0,3.0220630168914795
397557,-20.0,3.016819953918457
398405,-21.0,3.0100607872009277
399340,-21.0,3.0093281269073486
