frame,score,loss
762,-21.0,0
1548,-21.0,0.1778988242149353
2341,-21.0,0.1748998463153839
3160,-21.0,0.1745598316192627
4003,-20.0,0.17584271728992462
4792,-21.0,0.17513076961040497
5614,-21.0,0.17471714317798615
6494,-21.0,0.17674952745437622
7257,-21.0,0.17735329270362854
8035,-21.0,0.17865754663944244
9035,-21.0,0.17659583687782288
9950,-20.0,0.17850935459136963
10895,-20.0,0.17646527290344238
11734,-20.0,0.17524763941764832
12553,-21.0,0.17610296607017517
13312,-21.0,0.17505820095539093
14260,-20.0,0.17625781893730164
15094,-20.0,0.17495834827423096
15858,-21.0,0.17596402764320374
16619,-21.0,0.1771393120288849
17550,-20.0,0.17622536420822144
18308,-21.0,0.21922416985034943
19144,-20.0,0.17674320936203003
20105,-19.0,0.17642100155353546
20947,-20.0,0.22406025230884552
21785,-20.0,0.1756586730480194
22656,-21.0,0.17501705884933472
23498,-20.0,0.17580726742744446
24341,-21.0,0.1744251251220703
25101,-21.0,0.17325648665428162
25892,-21.0,0.17210090160369873
26714,-21.0,0.17625747621059418
27477,-21.0,0.17753493785858154
28294,-21.0,0.17486773431301117
29129,-20.0,0.17898941040039062
30011,-21.0,0.17302629351615906
30774,-21.0,0.1780911386013031
31593,-21.0,0.17690137028694153
32410,-21.0,0.17600904405117035
33326,-20.0,0.17725105583667755
34208,-21.0,0.17498955130577087
35187,-20.0,0.17552891373634338
35949,-21.0,0.1762639582157135
36707,-21.0,0.17537659406661987
37525,-21.0,0.17497758567333221
38424,-21.0,0.17536821961402893
39421,-19.0,0.17790628969669342
40243,-21.0,0.17421941459178925
41083,-20.0,0.19393295049667358
41847,-21.0,0.19459562003612518
42605,-21.0,0.19451534748077393
43409,-21.0,0.19727414846420288
44368,-20.0,0.1928705871105194
45160,-21.0,0.19448702037334442
46062,-20.0,0.19705809652805328
46884,-21.0,0.19208401441574097
47672,-21.0,0.1916857361793518
48521,-21.0,0.19287312030792236
49347,-21.0,0.19271229207515717
50242,-20.0,0.19469502568244934
51002,-21.0,0.19181305170059204
51870,-20.0,0.19080856442451477
52629,-21.0,0.19432072341442108
53453,-21.0,0.19416572153568268
54278,-21.0,0.1935264617204666
55036,-21.0,0.1930045485496521
55876,-20.0,0.19000238180160522
56652,-21.0,0.19417987763881683
57471,-21.0,0.1936016082763672
58232,-21.0,0.19503852725028992
59078,-21.0,0.19612246751785278
59836,-21.0,0.19353421032428741
60822,-20.0,0.19282588362693787
61579,-21.0,0.19471383094787598
62410,-20.0,0.19431054592132568
63248,-20.0,0.1918329894542694
64010,-21.0,0.1925986111164093
64798,-21.0,0.19038772583007812
65606,-21.0,0.19269903004169464
66520,-19.0,0.2329481691122055
67279,-21.0,0.1927114725112915
68114,-20.0,0.19150950014591217
68932,-21.0,0.19008556008338928
69839,-21.0,0.19293680787086487
70630,-21.0,0.19524429738521576
71453,-21.0,0.19255095720291138
72284,-20.0,0.19619423151016235
73043,-21.0,0.19512715935707092
73806,-21.0,0.21731168031692505
74685,-21.0,0.19588762521743774
75507,-21.0,0.19716548919677734
76270,-21.0,0.19435957074165344
77124,-21.0,0.1920275241136551
77947,-21.0,0.19363155961036682
78939,-21.0,0.1939980685710907
79762,-21.0,0.19267112016677856
80551,-21.0,0.19612030684947968
81370,-21.0,0.20733629167079926
82190,-21.0,0.20146428048610687
82947,-21.0,0.21438750624656677
83766,-21.0,0.20493951439857483
84704,-21.0,0.2009812891483307
85658,-20.0,0.2061898410320282
