frame,score,loss
762,-21.0,0
1639,-21.0,0.013150950893759727
2446,-21.0,0.6283543705940247
3296,-20.0,0.0360540896654129
4217,-19.0,0.006706929765641689
5117,-20.0,0.0686350092291832
5966,-21.0,0.011400576680898666
6845,-21.0,0.003829119261354208
7608,-21.0,0.007760857697576284
8386,-21.0,0.0037778259720653296
9349,-19.0,0.010395228862762451
10265,-20.0,0.008040983229875565
11299,-19.0,0.010586323216557503
12210,-21.0,0.0034978757612407207
13094,-20.0,0.0074953543953597546
13853,-21.0,0.006735032424330711
14707,-21.0,0.00620342418551445
15546,-21.0,0.00832437351346016
16448,-20.0,0.002557469764724374
17237,-21.0,0.0014994123484939337
18016,-21.0,0.0017172801308333874
18802,-21.0,0.011997777968645096
19742,-21.0,0.006916395388543606
20561,-21.0,0.003309180261567235
21474,-21.0,0.0024386239238083363
22468,-19.0,0.00959828495979309
23338,-20.0,0.002501459326595068
24554,-17.0,0.00830428022891283
25420,-20.0,0.002231176011264324
26318,-20.0,0.0038505527190864086
27231,-21.0,0.0033932379446923733
28107,-20.0,0.001244322513230145
28870,-21.0,0.015143460594117641
29627,-21.0,0.0019217469962313771
30602,-20.0,0.006411706563085318
31436,-20.0,0.0014208543580025434
32199,-21.0,0.016895249485969543
33018,-21.0,0.010249442420899868
33848,-20.0,0.004871162120252848
34732,-20.0,0.006055766250938177
35650,-19.0,0.0019192507024854422
36471,-21.0,0.003203097265213728
37233,-21.0,0.0017098181415349245
38070,-21.0,0.002050626790151
38966,-20.0,0.0032479511573910713
39878,-20.0,0.008582275360822678
40716,-21.0,0.007306904997676611
41496,-21.0,0.01217612437903881
42379,-21.0,0.03496050834655762
43143,-21.0,0.002042386680841446
43901,-21.0,0.0034915353171527386
44658,-21.0,0.0017895214259624481
45506,-21.0,0.005214696284383535
46270,-21.0,0.0018653933657333255
47053,-21.0,0.00913483090698719
47833,-21.0,0.0025788997299969196
48671,-20.0,0.01022128202021122
49584,-21.0,0.002492254599928856
50436,-21.0,0.0036568751093000174
51422,-19.0,0.0024077980779111385
52393,-21.0,0.0029712505638599396
53172,-21.0,0.0021632963325828314
53991,-21.0,0.0018856414826586843
54867,-20.0,0.0009788399329409003
55719,-21.0,0.003555835457518697
56477,-21.0,0.0030490655917674303
57301,-21.0,0.0022127884440124035
58087,-21.0,0.0014405264519155025
58874,-21.0,0.003667224431410432
59695,-21.0,0.0095047727227211
60586,-20.0,0.002250831574201584
61404,-21.0,0.002765215002000332
62165,-21.0,0.004370570182800293
63011,-21.0,0.008924160152673721
63787,-21.0,0.00321336486376822
64607,-21.0,0.005655303597450256
65491,-21.0,0.015620873309671879
66311,-21.0,0.004390037152916193
67135,-21.0,0.001926962286233902
67957,-21.0,0.00195916835218668
68735,-21.0,0.004123876802623272
69571,-21.0,0.0075980182737112045
70329,-21.0,0.0013572231400758028
71090,-21.0,0.001031957333907485
71914,-21.0,0.001495070056989789
72859,-21.0,0.0899047926068306
73752,-20.0,0.0013727429322898388
74511,-21.0,0.0005272695561870933
75321,-21.0,0.0009703405085019767
76206,-20.0,0.0009616458555683494
77028,-21.0,0.006694613955914974
77939,-21.0,0.0008503575809299946
78778,-20.0,0.0006588775431737304
79628,-21.0,0.0019332809606567025
80544,-20.0,0.0028562527149915695
81306,-21.0,0.061925724148750305
82095,-21.0,0.012164440006017685
82914,-21.0,0.01969200000166893
83674,-21.0,0.003974422812461853
84431,-21.0,0.007956672459840775
85469,-19.0,0.0046487790532410145
86445,-19.0,0.004141082521528006
87268,-21.0,0.0008328566327691078
88212,-21.0,0.0015512531390413642
89091,-21.0,0.0011224272893741727
89940,-21.0,0.0013239161344245076
90699,-21.0,0.03605594485998154
91476,-21.0,0.004854438826441765
92296,-21.0,0.006736838258802891
93177,-21.0,0.001626260462217033
93940,-21.0,0.0025963536463677883
94761,-21.0,0.0011833315948024392
95521,-21.0,0.005707992240786552
96283,-21.0,0.001602214528247714
97043,-21.0,0.0009879065910354257
97885,-20.0,0.0017228268552571535
98704,-21.0,0.0005589044885709882
99635,-21.0,0.000994930393062532
100399,-21.0,0.000982164405286312
101231,-20.0,0.0025000013411045074
102133,-20.0,0.010957370512187481
102968,-20.0,0.005693470127880573
103846,-21.0,0.0040108212269842625
104665,-21.0,0.001872532768175006
105545,-21.0,0.0028766130562871695
106335,-21.0,0.0016247250605374575
107269,-19.0,0.0009360592230223119
108092,-21.0,0.0018540953751653433
108910,-21.0,0.0007939081988297403
109891,-19.0,0.007252512965351343
110708,-21.0,0.0012772288173437119
111550,-21.0,0.003750850213691592
112314,-21.0,0.0019250998739153147
113073,-21.0,0.0018444532761350274
113835,-21.0,0.002168164122849703
114813,-19.0,0.0016174640040844679
115573,-21.0,0.0016713941004127264
116364,-21.0,0.0005436564097180963
117230,-20.0,0.0012309174053370953
118176,-21.0,0.0014004722470417619
118995,-21.0,0.016422774642705917
119834,-21.0,0.00531318224966526
120620,-21.0,0.0012119356542825699
121428,-21.0,0.056487102061510086
122477,-19.0,0.0018238875782117248
123299,-21.0,0.0015417351387441158
124194,-20.0,0.024136917665600777
124957,-21.0,0.0018414407968521118
125721,-21.0,0.003271038644015789
126538,-21.0,0.0028626115527004004
127476,-21.0,0.0019600733648985624
128235,-21.0,0.0013550646835938096
129058,-21.0,0.0020602867007255554
129868,-21.0,0.024934517219662666
130798,-20.0,0.0006039662403054535
131636,-20.0,0.013308919966220856
132595,-19.0,0.001046498422510922
133411,-21.0,0.0013357067946344614
134252,-20.0,0.002902268897742033
135014,-21.0,0.0012045633047819138
135862,-21.0,0.0005539830308407545
136742,-21.0,0.006513028405606747
137566,-21.0,0.004490769933909178
138507,-21.0,0.001298964605666697
139354,-21.0,0.0011163594899699092
