Episode,Reward,Epsilon
0,-86.17527794143666,0.995
1,-127.34355413940423,0.990025
2,-219.3706620275026,0.985074875
3,-78.25383955688142,0.9801495006250001
4,-74.43427320225908,0.9752487531218751
5,-208.78530431878318,0.9703725093562657
6,-485.31973332492646,0.9655206468094844
7,-111.7037694199802,0.960693043575437
8,-197.8432861624305,0.9558895783575597
9,-112.50548685414356,0.9511101304657719
10,-583.8111091990163,0.946354579813443
11,-336.6214175524958,0.9416228069143757
12,-365.55716140604613,0.9369146928798039
13,-122.260425016959,0.9322301194154049
14,-111.62256384832789,0.9275689688183278
15,-159.63603515447002,0.9229311239742362
16,-138.3126954526109,0.918316468354365
17,-376.19859192414947,0.9137248860125932
18,-281.1890569304135,0.9091562615825302
19,-210.58302499531592,0.9046104802746175
20,-23.522158125431275,0.9000874278732445
21,-156.68856871244017,0.8955869907338783
22,-145.37543407593856,0.8911090557802088
23,-101.72522695656397,0.8866535105013078
24,-317.6965309537504,0.8822202429488013
25,-158.04511651340044,0.8778091417340573
26,-109.80569252328606,0.8734200960253871
27,-67.10745736412537,0.8690529955452602
28,-182.70405023717188,0.8647077305675338
29,-96.77702069085353,0.8603841919146962
30,-87.86961618350372,0.8560822709551227
31,-164.13315679351155,0.851801859600347
32,-100.33924863296672,0.8475428503023453
33,-115.28479375580868,0.8433051360508336
34,-133.19112526933029,0.8390886103705794
35,-81.63873239801853,0.8348931673187264
36,-83.46558184152299,0.8307187014821328
37,-137.56847223187566,0.8265651079747222
38,-208.65652035740186,0.8224322824348486
39,-126.21373001785085,0.8183201210226743
40,-108.11611406117741,0.8142285204175609
41,-424.48389671398536,0.810157377815473
42,-6.673672032814267,0.8061065909263957
43,-141.80580148597198,0.8020760579717637
44,-64.1528135765762,0.798065677681905
45,-118.69761448351471,0.7940753492934954
46,-154.57241207185112,0.7901049725470279
47,-100.38576855879388,0.7861544476842928
48,-93.64055252229089,0.7822236754458713
49,-104.22193054940456,0.778312557068642
50,-95.44940630286052,0.7744209942832988
51,-125.44860233854592,0.7705488893118823
52,-142.27998085609738,0.7666961448653229
53,-127.01497848221555,0.7628626641409962
