Episode,Reward,Epsilon
0,-152.74975085943515,0.995
1,-240.65679170965896,0.990025
2,-140.5744863647752,0.985074875
3,-188.78704757459082,0.9801495006250001
4,-96.96122393433113,0.9752487531218751
5,-89.29813188007708,0.9703725093562657
6,-101.33557806575054,0.9655206468094844
7,-243.3924261510506,0.960693043575437
8,-133.41985285710547,0.9558895783575597
9,-105.98185691026647,0.9511101304657719
10,-42.87606271723073,0.946354579813443
11,-102.65007009272296,0.9416228069143757
12,-312.8154166122835,0.9369146928798039
13,-65.16541684447006,0.9322301194154049
14,-178.52050721890748,0.9275689688183278
15,-71.5087245939838,0.9229311239742362
16,-139.93271693184101,0.918316468354365
17,-292.0757953763648,0.9137248860125932
18,-127.99071451785831,0.9091562615825302
19,-121.55194331962304,0.9046104802746175
20,-144.0764390413912,0.9000874278732445
21,-107.52488594891183,0.8955869907338783
22,-41.95566096087005,0.8911090557802088
23,-140.1816869325271,0.8866535105013078
24,-163.94135373406743,0.8822202429488013
25,-283.470932878586,0.8778091417340573
26,-361.5521206447591,0.8734200960253871
27,-244.8732641461439,0.8690529955452602
28,-289.75480839624527,0.8647077305675338
29,-247.0208450176521,0.8603841919146962
30,-206.0290123050446,0.8560822709551227
31,-117.79944393861146,0.851801859600347
32,-245.16676022100665,0.8475428503023453
33,-10.556477033310912,0.8433051360508336
34,-122.06534647127145,0.8390886103705794
35,-88.52225596638829,0.8348931673187264
36,-203.65450088059615,0.8307187014821328
37,-100.99325401631535,0.8265651079747222
38,-123.76985175154184,0.8224322824348486
39,-36.56978044498683,0.8183201210226743
40,-68.01842213849969,0.8142285204175609
41,-48.51375896580367,0.810157377815473
42,-208.07944685837927,0.8061065909263957
43,-51.28784261267516,0.8020760579717637
44,-237.37281570459587,0.798065677681905
45,-63.9996696050185,0.7940753492934954
46,-76.54698163080772,0.7901049725470279
47,-82.08100037542914,0.7861544476842928
48,-118.66549418971869,0.7822236754458713
49,-305.6522472603365,0.778312557068642
50,-134.81868853729196,0.7744209942832988
51,-216.56020087308053,0.7705488893118823
52,-69.8205500906211,0.7666961448653229
53,-31.595030432213463,0.7628626641409962
54,-76.05093964718606,0.7590483508202912
55,-232.4189201673354,0.7552531090661897
56,-96.76372000134279,0.7514768435208588
57,-115.75144600005007,0.7477194593032545
58,-57.03576665138587,0.7439808620067382
59,-66.09669544452115,0.7402609576967045
60,-197.69470604348834,0.736559652908221
61,-90.09712797608212,0.7328768546436799
62,-182.267237039944,0.7292124703704616
63,-79.05396825491204,0.7255664080186093
64,-157.70205744074633,0.7219385759785162
65,-190.69434258425127,0.7183288830986236
66,-13.992007472619747,0.7147372386831305
67,-126.60123417195133,0.7111635524897149
68,-136.05095328021622,0.7076077347272662
69,-141.17058715027082,0.7040696960536299
70,-34.924427586735106,0.7005493475733617
71,-109.35082990457542,0.697046600835495
72,-250.65732968009675,0.6935613678313175
73,-80.27786005596045,0.6900935609921609
74,-152.90080467794485,0.6866430931872001
75,-74.52648826920324,0.6832098777212641
76,-118.65936276479748,0.6797938283326578
77,-143.29678752703686,0.6763948591909945
78,-40.87426143079769,0.6730128848950395
79,-36.91433210901067,0.6696478204705644
80,-119.39383176155492,0.6662995813682115
81,-45.21576608001787,0.6629680834613705
82,-74.0559506142724,0.6596532430440636
83,-116.5553529360472,0.6563549768288433
84,31.128112800018755,0.653073201944699
85,-138.184631661272,0.6498078359349755
86,-108.67039131389177,0.6465587967553006
87,-72.59302931212513,0.6433260027715241
88,-47.86741331137938,0.6401093727576664
89,-91.58226864162853,0.6369088258938781
90,-115.91354136241787,0.6337242817644086
91,-47.066355316333954,0.6305556603555866
92,-5.034675253283481,0.6274028820538087
93,-71.51034665894845,0.6242658676435396
94,-46.53540983865862,0.6211445383053219
95,-76.32441489185996,0.6180388156137953
96,-64.35134509056402,0.6149486215357263
97,-13.005466792035733,0.6118738784280476
98,-62.49477818551989,0.6088145090359074
99,-76.86093156143117,0.6057704364907278
100,23.336481536814233,0.6027415843082742
101,-52.63377993302066,0.5997278763867329
102,-8.247407204076893,0.5967292370047992
103,-19.66981557429716,0.5937455908197752
104,-19.549103820268485,0.5907768628656763
105,-99.94507092713754,0.5878229785513479
106,10.14677266386117,0.5848838636585911
107,-42.84157385071203,0.5819594443402982
108,-78.61057683549194,0.5790496471185967
109,-84.25509750781303,0.5761543988830038
110,-199.05647356799534,0.5732736268885887
111,-9.666554749384943,0.5704072587541458
112,16.28891893026622,0.567555222460375
113,-114.72149013814558,0.5647174463480732
114,-65.01703024415588,0.5618938591163328
115,12.39212144137268,0.5590843898207511
116,-44.45226378762646,0.5562889678716474
117,-52.92384794180016,0.5535075230322891
118,-30.370729523656394,0.5507399854171277
119,-36.659872814309864,0.547986285490042
120,-30.12315577021228,0.5452463540625918
121,-43.92898847047327,0.5425201222922789
122,-20.208965417055154,0.5398075216808175
123,-6.086033624305244,0.5371084840724134
124,-273.79779954233345,0.5344229416520513
125,14.778595066634537,0.531750826943791
126,4.621145134654242,0.5290920728090721
127,-18.021704961415935,0.5264466124450268
128,-35.28127392419675,0.5238143793828016
129,-18.328717917324184,0.5211953074858876
130,43.86507309722708,0.5185893309484582
131,-58.6400822054908,0.5159963842937159
132,-41.25533948657385,0.5134164023722473
133,-57.12698353220412,0.510849320360386
